Colombia,16480383,18581974,20905059,23146803,25323406,27737900,30350086,32975535,35558682,36823537,39234062,41572491,43835722,45918097,47791911,48228697
Comoros,191121,203753,220575,239235,265953,307829,345466,387963,436448,462277,515385,569479,626425,689692,759385,777424
"Congo, Dem. Rep.",15248251,16903923,18913203,21120140,23559071,26357462,29121474,32444156,37346147,40273701,44840529,49835756,56543011,64523263,73722860,76196619
"Congo, Rep.",1037220,1152412,1287516,1450518,1637941,1839935,2068132,2311348,2577035,2722497,3048453,3407180,3842365,4386693,4871101,4995648
Costa Rica,1333040,1537041,1746869,1947048,2151497,2389310,2659781,2944557,3257466,3425690,3767373,4063204,4308794,4545280,4757575,4807852
Cote d'Ivoire,3558988,4157965,4834279,5737281,6922982,8293675,9826055,11424260,13163019,14083611,15884552,17366517,18699435,20401331,22531350,23108472
Croatia,4140000,4259680,4364000,4457000,4530000,4588000,4680000,4757000,4470000,4650000,4501000,4440000,4440000,4417781,4238389,4203604
Cuba,7141135,7787146,8413327,9025300,9544271,9835177,10017059,10379548,10733363,10850585,11064097,11217998,11296233,11333051,11439767,11461432
Curacao,124826,133148,140298,147710,149399,148041,151940,149254,143912,144630,144472,129205,141239,148703,155909,157979
Cyprus,572930,578627,598493,628002,657534,685406,697717,736479,800609,837110,908704,976966,1045509,1112607,1152309,1160985
Czech Republic,9602006,9727804,9876346,9867632,10125939,10304193,10330213,10355276,10319123,10333587,10294373,10196916,10238905,10474410,10525347,10546059
Denmark,4579603,4722072,4864883,4991596,5072596,5123027,5111619,5129516,5171370,5206180,5304219,5375931,5437272,5547683,5643475,5683483
Djibouti,83636,107583,140462,179224,248556,358960,406017,528999,615054,622366,680612,746221,796208,851146,912164,927414
Dominica,60011,63926,69040,71734,72642,75314,74213,71742,70970,71373,70290,69824,70807,71440,72778,73162
Dominican Republic,3294042,3757956,4250025,4759934,5280723,5809269,6351572,6903316,7468551,7753052,8296375,8832285,9371338,9897985,10405844,10528394
Ecuador,4545550,5099468,5730906,6428711,7179399,7976445,8823751,9739176,10705667,11196479,12163885,13072060,13967480,14934690,15903112,16144368
"Egypt, Arab Rep.",26996533,30071102,33377259,36673642,40089032,44099142,48868951,54547296,60035536,62495745,67378056,72590118,78159048,84107606,91812566,93778172
El Salvador,2762899,3106186,3477742,3861931,4239675,4580704,4858532,5119035,5400331,5544945,5778706,5940303,6056478,6164626,6281189,6312478
Equatorial Guinea,255323,271457,301353,292585,252194,255325,338086,402326,455148,487140,566673,666407,792217,951104,1129424,1175389
Eritrea,1397491,1548187,1718525,1912302,2133723,2385540,2674289,3006361,3118582,3085443,3224223,3614639,4066648,4390840,..,..
Estonia,1211537,1277086,1331214,1392518,1439576,1477219,1518617,1561900,1533091,1462514,1386156,1379350,1346810,1331475,1314545,1315407
Ethiopia,22151278,24397024,26946079,30132580,33146891,35264898,39518801,44932064,51647768,55431123,62794151,70497192,78850689,87702670,97366774,99873033
Faroe Islands,34661,36454,38200,40009,41848,43514,45122,47117,47101,46250,46580,47769,48383,48550,48842,48965
Fiji,393386,450450,498892,542814,587520,635255,700366,722917,744531,765667,800315,815691,827411,859950,885806,892149
Finland,4429634,4548543,4626469,4639657,4725664,4779535,4881803,4946481,5041992,5088333,5153498,5200598,5266268,5363352,5461512,5479531
France,46814237,49449403,51276054,52959228,54541493,55340782,56470769,57836486,58851216,59327194,60186291,61805267,63621376,65027512,66331957,66624068
French Polynesia,78076,90132,103386,118279,134748,151708,170396,189738,205266,211579,228376,245006,257832,267820,275484,277690
Gabon,499184,523789,565873,613123,663770,729159,808083,901458,1004676,1058663,1171224,1294409,1444844,1640210,1875713,1930175
"Gambia, The",367928,394553,425510,474539,536409,604369,701104,843050,979718,1036829,1160944,1311349,1491021,1692149,1917852,1977590
Georgia,3645600,3870300,4042300,4205300,4342400,4467700,4622200,4790700,4873500,4861600,4487300,4357000,4136000,3926000,3727000,3717100
Germany,72814900,75318337,77294314,78688452,78336950,78288576,77858685,78144619,80624598,81438348,82047195,82488495,82376451,81776930,80982500,81686611
Ghana,6652287,7513289,8221020,9083573,10023472,10802028,12311158,13854214,15463854,16330174,18036494,19924522,22113425,24512104,26962563,27582821
Gibraltar,23394,25454,27694,29104,29742,30272,30325,29469,29379,29895,30801,31544,32296,33189,34038,34228
Greece,8331725,8510429,8740765,8888628,9188150,9642505,9895801,10036983,10399061,10512922,10720509,10902022,11020362,11121341,10892413,10820883
Greenland,32500,37600,43400,48300,49700,50200,52700,54800,55300,55500,56100,56609,56774,56905,56295,56114
Grenada,89869,94066,94868,93934,91437,89005,98439,98062,97198,99405,101309,102100,103259,104677,106360,106823
Guam,66742,73051,80217,87587,95385,104133,113961,124673,136692,142802,152277,157175,158648,159444,160967,161797
Guatemala,4210747,4730540,5311615,5941567,6599214,7283459,8042897,8842575,9708544,10172297,11133501,12208848,13397008,14630417,15923559,16252429
Guinea,3577409,3811659,4097191,4298091,4381601,4511902,4943144,5554882,6758838,7544291,8503297,9137345,9881428,10794170,11805509,12091533
Guinea-Bissau,616409,643961,685476,741490,784156,800854,876873,965742,1062800,1113541,1199915,1293523,1412669,1555880,1725744,1770526
Guyana,571819,637845,686146,721948,754101,780153,775219,750731,748134,758342,757952,751884,749601,746556,763393,768514
Haiti,3866159,4186640,4534234,4876560,5238245,5688836,6240329,6813348,7386975,7674911,8258483,8834733,9409457,9999617,10572466,10711061
Honduras,2038637,2280045,2560727,2882113,3251158,3678286,4154887,4676361,5247836,5552625,6192026,6863157,7541406,8194778,8809216,8960829
"Hong Kong SAR, China",3075605,3504600,3802700,4123600,4518000,5063100,5397900,5627600,5800500,6035400,6543700,6744100,6857100,7024200,7241700,7305700
Hungary,9983967,10119835,10255815,10398489,10598677,10711122,10668095,10596487,10369341,10343355,10266570,10158608,10071370,10000023,9866468,9843028
Iceland,175574,188983,201488,209137,220154,228138,239511,249740,261057,266021,274047,287523,303782,318041,327386,330815
India,449480608,487484535,529967317,579411513,635771734,696783517,764245202,834489322,906021106,942204249,1015974042,1089807112,1161977719,1230980691,1293859294,1309053980
Indonesia,87792515,97638029,108821564,121059513,134010690,147490365,161555583,175000916,187766086,193945272,205715544,217508059,229838202,242524123,255131116,258162113
"Iran, Islamic Rep.",21906903,24308085,27032943,30074298,33737768,38668220,45474708,53075618,58260738,59725125,63900630,67983330,71227880,74567511,78411092,79360487
Iraq,7289761,8122199,9260682,10599845,12068168,13653356,15205501,16651807,18458187,19597239,22190250,24939299,27697912,30762701,35006080,36115649
Ireland,2828600,2866550,2915550,3036850,3238050,3412800,3532423,3524949,3558430,3590386,3712696,3931947,4273591,4560155,4617225,4676835
Isle of Man,48442,49391,53254,57154,60428,63551,62487,66047,69475,69818,71390,73870,76914,80072,82590,83167
Israel,2114020,2475000,2803000,3148000,3533000,3878000,4159000,4442000,5123000,5399000,5971000,6570000,7053700,7623600,8215700,8380100
Italy,50199700,51675350,53235750,54381345,55718260,56433883,56576718,56629288,56797087,56843400,56906744,57059007,58143979,59277417,60789140,60730582
Jamaica,1628252,1730486,1825633,1934828,2055085,2163045,2308947,2393534,2465362,2513049,2611367,2695446,2760279,2817210,2862087,2871934
Japan,92500572,97826000,101061000,107188000,112771000,116782000,120018000,122613000,124229000,124961000,126400000,127445000,127854000,128070000,127276000,127141000
Jordan,932257,1101459,1498309,1881214,2120069,2374422,2780428,3252672,3968198,4395953,4927912,5287488,5934232,7182390,8809306,9159302
Kazakhstan,9714260,11267329,12341412,13176584,13920105,14518924,15214051,15982510,16439095,16095199,15071300,14858948,15308084,16321581,17289224,17544126
Kenya,8105440,9200157,10502245,12083188,13996704,16268990,18937738,21871442,24963953,26548486,29769803,33214009,37052050,41350152,46024250,47236259
Kiribati,41233,45425,49388,52824,55977,59339,62765,69098,74769,76671,81550,87343,94260,102652,110458,112407
"Korea, Dem. People’s Rep.",11424176,12282419,13609982,15207771,16554746,17472140,18590138,19708323,20937404,21577982,22537336,23336681,24061097,24591599,25116363,25243917
"Korea, Rep.",25012374,27984155,30838302,33505406,35848523,38123775,40405956,42031247,43747962,44641540,46286503,47644736,48438292,49554112,50746659,51014947
Kosovo,947000,1050000,1163000,1278000,1400000,1521000,1647000,1791000,1932000,1997000,1966000,1702310,1719536,1775680,1821800,1801800
Kuwait,269618,425235,634897,854604,1089209,1372318,1655833,2038885,..,..,1836353,2143833,2377258,2998083,3782450,3935794
